"","Df","SumOfSqs","R2","F","Pr(>F)"
"time_since_last_fire",1,0.412308236173524,0.140103557577056,3.2586146578833,0.051
"Residual",20,2.53057375272072,0.859896442422944,NA,NA
"Total",21,2.94288198889424,1,NA,NA
