"","Df","SumOfSqs","R2","F","Pr(>F)"
"time_since_last_fire",1,0.402008161293269,0.147086885065625,3.10414259649994,0.065
"Residual",18,2.33112580312449,0.852913114934375,NA,NA
"Total",19,2.73313396441776,1,NA,NA
