"","Df","SumOfSqs","R2","F","Pr(>F)"
"last_fire_distance",1,0.103839641930041,0.0243037123748668,0.675792735322369,0.496
"time_since_last_fire",1,0.0463433337019512,0.0108466769708578,0.30160435517968,0.763
"last_fire_distance:time_since_last_fire",1,0.12734329928899,0.0298047533799404,0.828755521031752,0.414
"Residual",26,3.99505728467646,0.935044857274335,NA,NA
"Total",29,4.27258355959745,1,NA,NA
