"","Df","SumOfSqs","R2","F","Pr(>F)"
"last_fire_distance",1,0.0266982989465322,0.0097683828506444,0.18933985876082,0.849
"time_since_last_fire",1,0.394046721973296,0.144173950894222,2.79451326966577,0.088
"last_fire_distance:time_since_last_fire",1,0.056272424027334,0.0205889739617362,0.399074594183024,0.649
"Residual",16,2.2561165194706,0.825468692293398,NA,NA
"Total",19,2.73313396441776,1,NA,NA
