"","Df","SumOfSqs","R2","F","Pr(>F)"
"last_fire_distance",1,0.103839641930041,0.0243037123748668,0.659839695848933,0.48
"time_since_last_fire",1,0.0463433337019512,0.0108466769708578,0.29448455952037,0.739
"elevation",1,0.0307542232421401,0.00719803903496687,0.195424954602941,0.869
"Residual",26,4.09164636072331,0.957651571619308,NA,NA
"Total",29,4.27258355959745,1,NA,NA
