"","Df","SumOfSqs","R2","F","Pr(>F)"
"last_fire_distance",1,0.0250338452577886,0.00850657462727372,0.189846059602784,0.853
"time_since_last_fire",1,0.412433699464295,0.140146190374172,3.12772216510904,0.065
"Residual",19,2.50541444417216,0.851347234998554,NA,NA
"Total",21,2.94288198889424,1,NA,NA
