"","Df","SumOfSqs","R2","F","Pr(>F)"
"last_fire_distance",1,0.0250338452577886,0.00850657462727372,0.184695379089554,0.868
"time_since_last_fire",1,0.412433699464295,0.140146190374172,3.04286447756824,0.059
"last_fire_distance:time_since_last_fire",1,0.0656716803767192,0.0223154311401371,0.484514295655498,0.609
"Residual",18,2.43974276379544,0.829031803858417,NA,NA
"Total",21,2.94288198889424,1,NA,NA
