StationCode,SampleDate,CollectionTime,CollectionDepth,UnitCollectionDepth,Analyte,Unit,Result,latitude,longitude,PositionWaterColumn,Huc12_name,Huc12_number
SMR-MLS-2,5/10/2011 12:00:00 AM,12/30/1899 8:14:00 AM,-88,m,"Zinc, Total",ug/L,1.3,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,9/6/2012 12:00:00 AM,12/30/1899 6:55:00 AM,-88,m,"Antimony, Dissolved",ug/L,0.1,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,9/6/2012 12:00:00 AM,12/30/1899 6:55:00 AM,-88,m,"Antimony, Total",ug/L,0.08,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,9/6/2012 12:00:00 AM,12/30/1899 6:55:00 AM,-88,m,"Arsenic, Total",ug/L,1.7,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,9/6/2012 12:00:00 AM,12/30/1899 6:55:00 AM,-88,m,"Cadmium, Total",ug/L,0.02,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,9/6/2012 12:00:00 AM,12/30/1899 6:55:00 AM,-88,m,"Lead, Total",ug/L,0.02,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,9/6/2012 12:00:00 AM,12/30/1899 6:55:00 AM,-88,m,"Merphos, Total",ug/L,-0.0058,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,9/6/2012 12:00:00 AM,12/30/1899 6:55:00 AM,-88,m,"Parathion, Ethyl, Total",ug/L,-0.0054,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/12/2012 12:00:00 AM,12/30/1899 8:08:00 AM,-88,m,"Cypermethrin, Total, Total",ug/L,-5e-4,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/12/2012 12:00:00 AM,12/30/1899 8:08:00 AM,-88,m,"Deltamethrin, Total",ug/L,-5e-4,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/12/2012 12:00:00 AM,12/30/1899 8:08:00 AM,-88,m,"Permethrin, trans-, Total",ug/L,-0.005,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/12/2012 12:00:00 AM,12/30/1899 8:08:00 AM,-88,m,"Nitrite as N, Total",mg/L,-0.01,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/12/2012 12:00:00 AM,12/30/1899 8:08:00 AM,-88,m,"Demeton-O, Total",ug/L,-0.01,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/12/2012 12:00:00 AM,12/30/1899 8:08:00 AM,-88,m,"Dimethoate, Total",ug/L,-0.0062,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/12/2012 12:00:00 AM,12/30/1899 8:08:00 AM,-88,m,"Parathion, Ethyl, Total",ug/L,-0.0054,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/12/2012 12:00:00 AM,12/30/1899 8:08:00 AM,-88,m,"Tetrachlorvinphos, Total",ug/L,-0.0031,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/12/2012 12:00:00 AM,12/30/1899 8:08:00 AM,-88,m,"Copper, Dissolved",ug/L,0.94,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/12/2012 12:00:00 AM,12/30/1899 8:08:00 AM,-88,m,"Phosphorus as P, Dissolved",mg/L,0.02,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/12/2012 12:00:00 AM,12/30/1899 8:08:00 AM,-88,m,"Dissolved Organic Carbon, Dissolved",mg/L,3.9,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,2/20/2013 12:00:00 AM,12/30/1899 3:22:00 PM,-88,m,"Fluvalinate, Total",ug/L,-5e-4,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,2/20/2013 12:00:00 AM,12/30/1899 3:22:00 PM,-88,m,"Permethrin, cis-, Total",ug/L,-0.005,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,2/20/2013 12:00:00 AM,12/30/1899 3:22:00 PM,-88,m,"Permethrin, trans-, Total",ug/L,-0.005,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,2/20/2013 12:00:00 AM,12/30/1899 3:22:00 PM,-88,m,"Prallethrin, Total",ug/L,-5e-4,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,2/20/2013 12:00:00 AM,12/30/1899 3:22:00 PM,-88,m,"Turbidity, Total",NTU,31,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,2/20/2013 12:00:00 AM,12/30/1899 3:22:00 PM,-88,m,"Ethoprop, Total",ug/L,-0.0067,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,2/20/2013 12:00:00 AM,12/30/1899 3:22:00 PM,-88,m,"Lead, Dissolved",ug/L,-0.011,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,2/20/2013 12:00:00 AM,12/30/1899 3:22:00 PM,-88,m,"Zinc, Total",ug/L,11,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,5/1/2013 12:00:00 AM,12/30/1899 8:00:00 AM,-88,m,"BOD, Total",mg/L,1.2,33.398142,-117.26273,Not Recorded,NA,NA
